Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:13:22 (+0000),36.125,45.622
2018/06/20-20:13:23 (+0000),36.125,45.084
2018/06/20-20:13:24 (+0000),36.125,45.084
2018/06/20-20:13:25 (+0000),36.125,45.622
2018/06/20-20:13:26 (+0000),36.125,45.622
2018/06/20-20:13:27 (+0000),36.125,45.084
2018/06/20-20:13:28 (+0000),36.125,45.084
2018/06/20-20:13:29 (+0000),36.125,45.622
2018/06/20-20:13:29 (+0000),36.125,45.084
2018/06/20-20:13:30 (+0000),36.125,45.622
2018/06/20-20:13:31 (+0000),36.125,45.084
2018/06/20-20:13:32 (+0000),36.125,45.622
2018/06/20-20:13:33 (+0000),36.125,45.084
2018/06/20-20:13:34 (+0000),36.125,46.16
2018/06/20-20:13:35 (+0000),36.125,45.622
2018/06/20-20:13:36 (+0000),36.125,45.084
2018/06/20-20:13:37 (+0000),36.062,45.622
2018/06/20-20:13:37 (+0000),36.125,45.084
2018/06/20-20:13:38 (+0000),36.125,45.084
2018/06/20-20:13:39 (+0000),36.125,45.622
2018/06/20-20:13:40 (+0000),36.125,45.622
2018/06/20-20:13:41 (+0000),36.062,45.622
2018/06/20-20:13:43 (+0000),36.062,45.084
2018/06/20-20:13:44 (+0000),36.062,46.16
2018/06/20-20:13:44 (+0000),36.062,45.084
2018/06/20-20:13:45 (+0000),36.062,45.084
2018/06/20-20:13:46 (+0000),36.062,45.622
2018/06/20-20:13:47 (+0000),36.062,45.622
2018/06/20-20:13:48 (+0000),36.062,45.084
2018/06/20-20:13:49 (+0000),36.062,45.084
2018/06/20-20:13:50 (+0000),36.062,45.622
2018/06/20-20:13:51 (+0000),36.062,46.16
2018/06/20-20:13:51 (+0000),36.062,45.622
2018/06/20-20:13:52 (+0000),36.062,46.16
2018/06/20-20:13:53 (+0000),36.062,45.084
2018/06/20-20:13:54 (+0000),36.062,45.084
2018/06/20-20:13:55 (+0000),36.062,45.084
2018/06/20-20:13:56 (+0000),36.062,45.084
2018/06/20-20:13:57 (+0000),36.062,45.084
2018/06/20-20:13:58 (+0000),36.062,45.084
2018/06/20-20:13:59 (+0000),36.062,45.084
2018/06/20-20:13:59 (+0000),36.062,45.622
2018/06/20-20:14:00 (+0000),36.062,45.084
2018/06/20-20:14:01 (+0000),36.062,45.084
2018/06/20-20:14:02 (+0000),36.062,46.16
2018/06/20-20:14:03 (+0000),36.062,45.622
2018/06/20-20:14:04 (+0000),36.062,45.622
2018/06/20-20:14:05 (+0000),36.062,45.084
2018/06/20-20:14:06 (+0000),36.062,45.084
2018/06/20-20:14:06 (+0000),36.062,45.622
2018/06/20-20:14:07 (+0000),36.062,45.622
2018/06/20-20:14:08 (+0000),36.062,45.084
2018/06/20-20:14:09 (+0000),36.062,45.084
2018/06/20-20:14:10 (+0000),36.062,45.622
2018/06/20-20:14:11 (+0000),36.062,45.622
2018/06/20-20:14:12 (+0000),36.062,45.084
2018/06/20-20:14:13 (+0000),36.062,46.16
2018/06/20-20:14:13 (+0000),36.062,45.622
2018/06/20-20:14:14 (+0000),36.062,45.622
2018/06/20-20:14:15 (+0000),36.062,45.622
2018/06/20-20:14:16 (+0000),36.125,45.622
2018/06/20-20:14:17 (+0000),36.125,45.084
2018/06/20-20:14:18 (+0000),36.125,45.622
2018/06/20-20:14:19 (+0000),36.125,45.622
2018/06/20-20:14:20 (+0000),36.125,45.622
2018/06/20-20:14:21 (+0000),36.125,45.622
2018/06/20-20:14:21 (+0000),36.125,45.084
2018/06/20-20:14:22 (+0000),36.125,45.622
2018/06/20-20:14:23 (+0000),36.125,45.622
2018/06/20-20:14:24 (+0000),36.125,46.16
2018/06/20-20:14:25 (+0000),36.125,45.622
2018/06/20-20:14:26 (+0000),36.125,45.622
2018/06/20-20:14:27 (+0000),36.125,45.084
2018/06/20-20:14:28 (+0000),36.125,46.16
2018/06/20-20:14:28 (+0000),36.125,45.622
2018/06/20-20:14:29 (+0000),36.125,45.622
2018/06/20-20:14:30 (+0000),36.187,46.16
2018/06/20-20:14:31 (+0000),36.312,45.622
2018/06/20-20:14:32 (+0000),36.375,45.622
