Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:27:28 (+0000),46.812,48.312
2018/06/20-20:27:29 (+0000),46.812,48.312
2018/06/20-20:27:30 (+0000),46.812,48.312
2018/06/20-20:27:31 (+0000),46.812,48.312
2018/06/20-20:27:32 (+0000),46.875,49.388
2018/06/20-20:27:33 (+0000),46.875,48.312
2018/06/20-20:27:34 (+0000),46.875,48.312
2018/06/20-20:27:35 (+0000),46.875,48.312
2018/06/20-20:27:35 (+0000),46.875,48.312
2018/06/20-20:27:36 (+0000),46.875,48.312
2018/06/20-20:27:37 (+0000),46.937,48.312
2018/06/20-20:27:38 (+0000),46.937,48.312
2018/06/20-20:27:39 (+0000),46.937,48.85
2018/06/20-20:27:40 (+0000),46.937,48.312
2018/06/20-20:27:41 (+0000),47,48.85
2018/06/20-20:27:42 (+0000),47,48.312
2018/06/20-20:27:43 (+0000),47,48.85
2018/06/20-20:27:43 (+0000),47,48.85
2018/06/20-20:27:44 (+0000),47,48.312
2018/06/20-20:27:45 (+0000),47,48.312
2018/06/20-20:27:46 (+0000),47.062,48.312
2018/06/20-20:27:47 (+0000),47.062,48.85
2018/06/20-20:27:48 (+0000),47.062,48.312
2018/06/20-20:27:49 (+0000),47.062,48.312
2018/06/20-20:27:50 (+0000),47.062,48.312
2018/06/20-20:27:50 (+0000),47.125,48.85
2018/06/20-20:27:51 (+0000),47.125,48.312
2018/06/20-20:27:52 (+0000),47.125,48.85
2018/06/20-20:27:53 (+0000),47.125,48.85
2018/06/20-20:27:54 (+0000),47.125,48.312
2018/06/20-20:27:55 (+0000),47.125,48.312
2018/06/20-20:27:56 (+0000),47.187,48.312
2018/06/20-20:27:57 (+0000),47.187,48.85
2018/06/20-20:27:58 (+0000),47.187,48.312
2018/06/20-20:27:58 (+0000),47.187,48.312
2018/06/20-20:27:59 (+0000),47.187,48.312
2018/06/20-20:28:00 (+0000),47.187,48.85
2018/06/20-20:28:01 (+0000),47.25,48.312
2018/06/20-20:28:02 (+0000),47.25,48.312
2018/06/20-20:28:03 (+0000),47.25,48.85
2018/06/20-20:28:04 (+0000),47.25,48.312
2018/06/20-20:28:05 (+0000),47.25,48.85
2018/06/20-20:28:05 (+0000),47.25,48.312
2018/06/20-20:28:06 (+0000),47.312,48.85
2018/06/20-20:28:07 (+0000),47.312,48.312
2018/06/20-20:28:08 (+0000),47.312,48.85
2018/06/20-20:28:09 (+0000),47.312,48.312
2018/06/20-20:28:10 (+0000),47.312,48.85
2018/06/20-20:28:11 (+0000),47.375,48.312
2018/06/20-20:28:12 (+0000),47.375,48.312
2018/06/20-20:28:13 (+0000),47.375,48.312
2018/06/20-20:28:13 (+0000),47.375,48.312
2018/06/20-20:28:14 (+0000),47.375,49.388
